ItemNo,Manufacturer Part No,CostPrice,Wimood_Target_Margin,Median_Achieved_Margin_Pct,Competitor_Margin_Pct,CompetitorStatus,SMB01,SMB02,SMB03,SMB04,SMB05,SMB06,SMB07,SMB08,SMB09,SMB10,SMB11,SMB12,SMB13,SMB14,SMB15,SMB16,SMB17,SMB18,SMB19,SMB20,supplierName,LTM Turnover (DKK)
W129247930,UA-CARD-B-100,205.86,,0.0527,,No Competitor Data,0.0502,0.0527,0.0527,0.0527,0.0527,0.0527,0.0564,0.0602,0.0639,0.0677,0.0714,0.0752,0.0789,0.0827,0.0864,0.0902,0.0939,0.0977,0.1014,0.1052,No comp data,14270.25546
W129125998,UVC-G6-TURRET-B,150.26,0.0389,0.1357,0.031,Outlier - Excluded,0.0389,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,ALLNET Deutschland,1416879.046482
W129089662,UVC-G6-TURRET-W,150.26,0.0528,0.0662,0.0494,Used,0.0494,0.0595,0.0595,0.0595,0.0595,0.0595,0.0633,0.067,0.0707,0.0745,0.0782,0.082,0.0857,0.0895,0.0932,0.097,0.1007,0.1045,0.1082,0.112,ALLNET Deutschland,4484806.154582
R2AC-PRISM,R2AC-PRISM,143.09,,0.0745,,No Competitor Data,0.0745,0.0745,0.0745,0.0745,0.0745,0.0745,0.0783,0.082,0.0857,0.0895,0.0932,0.097,0.1007,0.1045,0.1082,0.112,0.1157,0.1195,0.1232,0.127,No comp data,20833.237965
NS-WM,NS-WM,12.0,0.0933,0.0667,0.0275,Used,0.0275,0.051,0.051,0.051,0.051,0.051,0.0547,0.0585,0.0622,0.066,0.0697,0.0735,0.0772,0.081,0.0847,0.0885,0.0922,0.096,0.0997,0.1035,ALLNET Deutschland,8368.414084
W128986573,U7-PRO-5,645.27,0.0341,0.0638,0.0277,Used,0.0277,0.0494,0.0494,0.0494,0.0494,0.0494,0.0532,0.0569,0.0607,0.0644,0.0682,0.0719,0.0757,0.0794,0.0832,0.0869,0.0907,0.0944,0.0982,0.1019,ALLNET Deutschland,3341358.268862
LBE-5AC-LR,LBE-5AC-LR,77.54,0.0201,0.0788,,No Main Competitor,0.025,0.0788,0.0788,0.0788,0.0788,0.0788,0.0825,0.0863,0.09,0.0938,0.0975,0.1013,0.105,0.1088,0.1125,0.1163,0.12,0.1238,0.1275,0.13,No comp data,36359.418435
ETH-SP-G2,ETH-SP-G2,8.31,0.0205,0.0636,0.0277,Used,0.025,0.0492,0.0492,0.0492,0.0492,0.0492,0.0529,0.0567,0.0604,0.0642,0.0679,0.0717,0.0755,0.0792,0.0829,0.0867,0.0905,0.0942,0.0979,0.1017,ALLNET Deutschland,113932.066506
W128791944,UVC-G4 DOORBELL PRO POE KIT-WHITE,295.4,0.0284,0.086,,No Main Competitor,0.0284,0.086,0.086,0.086,0.086,0.086,0.0897,0.0935,0.0973,0.101,0.1047,0.1085,0.1123,0.116,0.1197,0.1235,0.1273,0.13,0.13,0.13,No comp data,102753.384656
W129012203,U7-PRO-OUTDOOR,207.71,0.0611,0.0667,0.0276,Used,0.0276,0.051,0.051,0.051,0.051,0.051,0.0547,0.0585,0.0622,0.066,0.0697,0.0735,0.0772,0.081,0.0847,0.0885,0.0922,0.096,0.0997,0.1035,ALLNET Deutschland,2275759.375662
W129050200,UACC-G5-PTZ-SM-B,21.23,0.0975,0.0639,,No Main Competitor,0.0639,0.0639,0.0639,0.0639,0.0639,0.0639,0.0677,0.0714,0.0752,0.0789,0.0827,0.0864,0.0902,0.0939,0.0977,0.1014,0.1052,0.1089,0.1127,0.1164,No comp data,9657.242317
W129015529,UACC-CABLE-USB-100W-1M-BK,18.46,,0.0808,,No Competitor Data,0.0808,0.0808,0.0808,0.0808,0.0808,0.0808,0.0846,0.0883,0.0921,0.0958,0.0995,0.1033,0.1071,0.1108,0.1145,0.1183,0.1221,0.1258,0.1295,0.13,No comp data,10511.51639
W128912769,UC-CAST-PRO,202.17,0.0902,0.0638,0.046,Used,0.046,0.0567,0.0567,0.0567,0.0567,0.0567,0.0604,0.0642,0.0679,0.0717,0.0755,0.0792,0.0829,0.0867,0.0905,0.0942,0.0979,0.1017,0.1055,0.1092,ALLNET Deutschland,778929.478586
W128460340,UACC-CRB,18.46,0.11,0.0639,,No Main Competitor,0.0639,0.0639,0.0639,0.0639,0.0639,0.0639,0.0677,0.0714,0.0752,0.0789,0.0827,0.0864,0.0902,0.0939,0.0977,0.1014,0.1052,0.1089,0.1127,0.1164,No comp data,1325.553026
W129000892,UVC-AI-TURRET-B,295.4,0.0569,0.0716,0.0359,Used,0.0359,0.0574,0.0574,0.0574,0.0574,0.0574,0.0612,0.0649,0.0687,0.0724,0.0761,0.0799,0.0837,0.0874,0.0912,0.0949,0.0987,0.1024,0.1062,0.1099,ALLNET Deutschland,774869.077419
W129131289,U7-PRO-XGS-B,221.55,0.0521,0.0526,0.0362,Used,0.0362,0.0461,0.0461,0.0461,0.0461,0.0461,0.0499,0.0536,0.0574,0.0611,0.0649,0.0686,0.0723,0.0761,0.0799,0.0836,0.0873,0.0911,0.0948,0.0986,ALLNET Deutschland,1198396.558352
W126815715,UISP-S,86.78,0.0083,0.0769,0.0277,Outlier - Excluded,0.025,0.0769,0.0769,0.0769,0.0769,0.0769,0.0807,0.0844,0.0882,0.0919,0.0957,0.0994,0.1032,0.1069,0.1107,0.1144,0.1182,0.1219,0.1257,0.1294,ALLNET Deutschland,185027.070155
W129251850,UACC-G6-DOME-FM-W,29.3,,0.0309,,No Competitor Data,0.0309,0.035,0.035,0.035,0.035,0.035,0.0387,0.0425,0.0462,0.05,0.0537,0.0575,0.0612,0.065,0.0688,0.0725,0.0762,0.08,0.0838,0.0875,No comp data,1155.9363
W128985474,UVC-AI-TURRET-W,295.4,0.0569,0.0659,0.0359,Used,0.0359,0.0539,0.0539,0.0539,0.0539,0.0539,0.0576,0.0614,0.0651,0.0689,0.0727,0.0764,0.0801,0.0839,0.0877,0.0914,0.0952,0.0989,0.1027,0.1064,ALLNET Deutschland,1213439.048521
W126421664,USW-ENTERPRISEXG-24,932.37,0.005,0.0526,0.2011,Outlier - Excluded,0.025,0.0526,0.0526,0.0526,0.0526,0.0526,0.0563,0.0601,0.0639,0.0676,0.0713,0.0751,0.0789,0.0826,0.0863,0.0901,0.0939,0.0976,0.1013,0.1051,Wortmann AG,1405686.513883
W128778301,EAH-8,737.59,0.0224,0.0753,0.0277,Outlier - Excluded,0.025,0.0753,0.0753,0.0753,0.0753,0.0753,0.0791,0.0828,0.0866,0.0903,0.0941,0.0978,0.1016,0.1053,0.1091,0.1128,0.1166,0.1203,0.1241,0.1278,ALLNET Deutschland,1071811.516626
AMO-5G13,AMO-5G13,110.78,0.0904,0.0674,0.0276,Used,0.0276,0.0515,0.0515,0.0515,0.0515,0.0515,0.0553,0.059,0.0628,0.0665,0.0703,0.074,0.0777,0.0815,0.0853,0.089,0.0927,0.0965,0.1003,0.104,ALLNET Deutschland,169321.272809
W128888584,UACC-READER-PRO-AM-W,22.16,0.1688,0.0689,,No Main Competitor,0.0689,0.0689,0.0689,0.0689,0.0689,0.0689,0.0726,0.0764,0.0801,0.0839,0.0877,0.0914,0.0952,0.0989,0.1027,0.1064,0.1102,0.1139,0.1177,0.1214,No comp data,25358.356285
W128791896,UVC-AI-THETA-PROLENS50,97.85,,0.0679,0.036,Used,0.036,0.0551,0.0551,0.0551,0.0551,0.0551,0.0588,0.0626,0.0663,0.0701,0.0738,0.0776,0.0813,0.0851,0.0888,0.0926,0.0963,0.1001,0.1038,0.1076,ALLNET Deutschland,6262.600523
W129234938,UVC-G6-PRO-BULLET-W,353.42,0.0178,0.1084,0.0553,Used,0.025,0.0871,0.0871,0.0871,0.0871,0.0871,0.0909,0.0946,0.0984,0.1021,0.1059,0.1096,0.1134,0.1171,0.1209,0.1246,0.1284,0.13,0.13,0.13,ALLNET Deutschland,801927.04579
W128851842,UACC-DISPLAY-AM,232.63,,0.0522,0.0277,Used,0.0277,0.0424,0.0424,0.0424,0.0424,0.0424,0.0462,0.0499,0.0537,0.0574,0.0612,0.0649,0.0687,0.0724,0.0761,0.0799,0.0837,0.0874,0.0912,0.0949,ALLNET Deutschland,15215.252932
W128306118,UA-POCKET,72.93,0.027,0.0635,0.0277,Used,0.027,0.0492,0.0492,0.0492,0.0492,0.0492,0.0529,0.0567,0.0604,0.0642,0.0679,0.0717,0.0755,0.0792,0.0829,0.0867,0.0905,0.0942,0.0979,0.1017,ALLNET Deutschland,187454.873156
W129234933,UACC-GB-PLATE-B,29.3,0.0239,0.084,,No Main Competitor,0.025,0.084,0.084,0.084,0.084,0.084,0.0878,0.0915,0.0953,0.099,0.1028,0.1065,0.1103,0.114,0.1178,0.1215,0.1253,0.129,0.13,0.13,No comp data,10972.793238
W129015520,UACC-OM-SFP10-1510,109.85,,0.077,,No Competitor Data,0.0745,0.077,0.077,0.077,0.077,0.077,0.0807,0.0845,0.0882,0.092,0.0957,0.0995,0.1032,0.107,0.1107,0.1145,0.1182,0.122,0.1258,0.1295,No comp data,8050.632882
W128998092,UACC-DOME-FM-W,28.62,0.1845,0.0771,0.0356,Used,0.0356,0.0605,0.0605,0.0605,0.0605,0.0605,0.0643,0.068,0.0718,0.0755,0.0793,0.083,0.0868,0.0905,0.0943,0.098,0.1018,0.1055,0.1093,0.113,ALLNET Deutschland,7365.229061
W125786439,USW-48-POE,440.34,0.0349,0.0529,0.0277,Used,0.0277,0.0428,0.0428,0.0428,0.0428,0.0428,0.0466,0.0503,0.0541,0.0578,0.0616,0.0653,0.0691,0.0728,0.0766,0.0803,0.0841,0.0878,0.0916,0.0953,ALLNET Deutschland,7621914.257269
W128986547,UACC-OM-SFP10-1290,72.93,,0.0879,,No Competitor Data,0.0879,0.0879,0.0879,0.0879,0.0879,0.0879,0.0916,0.0954,0.0991,0.1029,0.1066,0.1104,0.1141,0.1179,0.1216,0.1254,0.1291,0.13,0.13,0.13,No comp data,9803.714196
W128863991,UICARE-USW-PRO-24-POE-EU-D,607.03,-0.8303,0.0652,,No Main Competitor,0.025,0.0652,0.0652,0.0652,0.0652,0.0652,0.0689,0.0727,0.0764,0.0802,0.0839,0.0877,0.0914,0.0952,0.0989,0.1027,0.1064,0.1102,0.1139,0.1177,No comp data,209879.112464
W129009661,UACC-AI-PORT-RM,50.77,0.04,0.0638,,No Main Competitor,0.04,0.0638,0.0638,0.0638,0.0638,0.0638,0.0675,0.0713,0.075,0.0788,0.0825,0.0863,0.09,0.0938,0.0975,0.1013,0.105,0.1088,0.1125,0.1163,No comp data,35688.254162
W126203915,U-CABLE-PATCH-3M-RJ45,3.05,0.0852,0.0786,,No Main Competitor,0.0761,0.0786,0.0786,0.0786,0.0786,0.0786,0.0823,0.0861,0.0898,0.0936,0.0973,0.1011,0.1048,0.1086,0.1123,0.1161,0.1198,0.1236,0.1273,0.13,No comp data,95209.811907
W128407396,UACC-RACK-PANEL-BRUSH-1U,30.46,0.1589,0.0748,,No Main Competitor,0.0723,0.0748,0.0748,0.0748,0.0748,0.0748,0.0786,0.0823,0.0861,0.0898,0.0936,0.0973,0.1011,0.1048,0.1086,0.1123,0.1161,0.1198,0.1236,0.1273,No comp data,127431.580239
LBE-M5-23,LBE-M5-23,33.23,,0.0571,,No Competitor Data,0.0571,0.0571,0.0571,0.0571,0.0571,0.0571,0.0609,0.0646,0.0684,0.0721,0.0759,0.0796,0.0834,0.0871,0.0909,0.0946,0.0984,0.1021,0.1059,0.1096,No comp data,18931.948223
W125937194,U6-LR,140.32,,0.0638,,No Competitor Data,0.0613,0.0638,0.0638,0.0638,0.0638,0.0638,0.0675,0.0713,0.075,0.0788,0.0825,0.0863,0.09,0.0938,0.0975,0.1013,0.105,0.1088,0.1125,0.1163,No comp data,4015732.305173
W128445503,UA-G2-PRO-BLACK,267.24,,0.0818,0.0295,Outlier - Excluded,0.0818,0.0818,0.0818,0.0818,0.0818,0.0818,0.0856,0.0893,0.093,0.0968,0.1006,0.1043,0.108,0.1118,0.1155,0.1193,0.123,0.1268,0.13,0.13,ALLNET Deutschland,16503.235354
W128812004,USW-PRO-MAX-48,480.03,0.0347,0.0531,0.0277,Used,0.0277,0.043,0.043,0.043,0.043,0.043,0.0467,0.0505,0.0542,0.058,0.0617,0.0655,0.0692,0.073,0.0767,0.0805,0.0843,0.088,0.0918,0.0955,ALLNET Deutschland,3139365.483551
IW-HD-BK-3,IW-HD-BK-3,28.62,0.1985,0.0637,0.0943,Used,0.0637,0.076,0.076,0.076,0.076,0.076,0.0798,0.0835,0.0872,0.091,0.0948,0.0985,0.1022,0.106,0.1098,0.1135,0.1172,0.121,0.1247,0.1285,ALLNET Deutschland,5410.938564
ISO-BEAM-620,ISO-BEAM-620,53.54,0.2103,0.0668,,No Main Competitor,0.0643,0.0668,0.0668,0.0668,0.0668,0.0668,0.0706,0.0743,0.078,0.0818,0.0856,0.0893,0.093,0.0968,0.1006,0.1043,0.108,0.1118,0.1155,0.1193,No comp data,14052.06222
W128377765,UA-G2-PRO,270.03,,0.0526,0.0188,Outlier - Excluded,0.0501,0.0526,0.0526,0.0526,0.0526,0.0526,0.0563,0.0601,0.0639,0.0676,0.0713,0.0751,0.0789,0.0826,0.0863,0.0901,0.0939,0.0976,0.1013,0.1051,ALLNET Deutschland,71289.387465
W128791905,UACC-AI-THETA-PRO-ANGLE MOUNT-CAMERA,22.16,,0.0583,,No Competitor Data,0.0583,0.0583,0.0583,0.0583,0.0583,0.0583,0.0621,0.0658,0.0696,0.0733,0.0771,0.0808,0.0846,0.0883,0.0921,0.0958,0.0995,0.1033,0.1071,0.1108,No comp data,8154.110033
W128830583,UCG-ULTRA,73.85,0.0467,0.0561,0.0421,Used,0.0421,0.0505,0.0505,0.0505,0.0505,0.0505,0.0542,0.058,0.0618,0.0655,0.0693,0.073,0.0768,0.0805,0.0843,0.088,0.0918,0.0955,0.0993,0.103,Wortmann AG,8232966.682787
W128778303,UACC-RACK-PANEL-PATCH-BLANK-24,22.62,0.1715,0.0604,,No Main Competitor,0.0579,0.0604,0.0604,0.0604,0.0604,0.0604,0.0641,0.0679,0.0716,0.0754,0.0791,0.0829,0.0866,0.0904,0.0941,0.0979,0.1016,0.1054,0.1091,0.1129,No comp data,217583.24548
W128920112,UICARE-U6-PRO-D,145.08,-0.8229,0.0751,,No Main Competitor,0.025,0.0751,0.0751,0.0751,0.0751,0.0751,0.0789,0.0826,0.0863,0.0901,0.0939,0.0976,0.1013,0.1051,0.1089,0.1126,0.1163,0.1201,0.1239,0.1276,No comp data,54279.354183
W126203918,U-CABLE-PATCH-5M-RJ45,4.06,0.1182,0.0764,,No Main Competitor,0.0764,0.0764,0.0764,0.0764,0.0764,0.0764,0.0801,0.0839,0.0877,0.0914,0.0952,0.0989,0.1027,0.1064,0.1102,0.1139,0.1177,0.1214,0.1252,0.1289,No comp data,70226.330508
W126203921,U-CABLE-PATCH-8M-RJ45,5.54,0.0812,0.0774,,No Main Competitor,0.0749,0.0774,0.0774,0.0774,0.0774,0.0774,0.0811,0.0849,0.0887,0.0924,0.0961,0.0999,0.1037,0.1074,0.1111,0.1149,0.1187,0.1224,0.1262,0.1299,No comp data,45130.799055
W129012597,UACC-CABLE-PATCH-EL-C6A-8M-W,13.29,0.1287,0.0726,0.1483,Outlier - Excluded,0.0726,0.0726,0.0726,0.0726,0.0726,0.0726,0.0764,0.0801,0.0838,0.0876,0.0914,0.0951,0.0988,0.1026,0.1064,0.1101,0.1138,0.1176,0.1213,0.1251,Wortmann AG,42429.67596
W128863979,UICARE-USW-AGGREGATION-EU-D,241.34,-0.8036,0.0528,,No Main Competitor,0.025,0.0528,0.0528,0.0528,0.0528,0.0528,0.0566,0.0603,0.0641,0.0678,0.0716,0.0753,0.0791,0.0828,0.0866,0.0903,0.0941,0.0978,0.1016,0.1053,No comp data,23135.446928
AF-MPX8,AF-MPX8,83.08,,0.0989,,No Competitor Data,0.0964,0.0989,0.0989,0.0989,0.0989,0.0989,0.1027,0.1064,0.1102,0.1139,0.1177,0.1214,0.1252,0.1289,0.13,0.13,0.13,0.13,0.13,0.13,No comp data,2707.110019
W128986567,UACC-G5-DOME-ULTRA-FM-B,28.62,0.0552,0.0526,,No Main Competitor,0.0526,0.0526,0.0526,0.0526,0.0526,0.0526,0.0563,0.0601,0.0639,0.0676,0.0713,0.0751,0.0789,0.0826,0.0863,0.0901,0.0939,0.0976,0.1013,0.1051,No comp data,20100.486609
W128407314,UA-G2-SK,212.32,0.0197,0.0544,0.0277,Used,0.025,0.0437,0.0437,0.0437,0.0437,0.0437,0.0474,0.0512,0.0549,0.0587,0.0624,0.0662,0.0699,0.0737,0.0775,0.0812,0.085,0.0887,0.0925,0.0962,ALLNET Deutschland,121734.981955
AF-5U,AF-5U,738.51,,,,No Competitor Data,0.075,0.075,0.075,0.075,0.075,0.075,0.0788,0.0825,0.0862,0.09,0.0938,0.0975,0.1013,0.105,0.1087,0.1125,0.1163,0.12,0.1237,0.1275,No comp data,49666.4
W129042597,UICARE-U7-PRO-OUTDOOR-D,252.36,-0.8042,0.081,,No Main Competitor,0.025,0.081,0.081,0.081,0.081,0.081,0.0847,0.0885,0.0922,0.096,0.0997,0.1035,0.1072,0.111,0.1147,0.1185,0.1222,0.126,0.1298,0.13,No comp data,58959.57369
W128208803,UISP-CONSOLE,202.17,,0.0667,,No Competitor Data,0.0667,0.0667,0.0667,0.0667,0.0667,0.0667,0.0704,0.0742,0.078,0.0817,0.0854,0.0892,0.093,0.0967,0.1004,0.1042,0.108,0.1117,0.1154,0.1192,No comp data,34264.18544
W129251516,WAVE-FIBER-ONU-5,144.01,,0.1,,No Competitor Data,0.0975,0.1,0.1,0.1,0.1,0.1,0.1037,0.1075,0.1113,0.115,0.1187,0.1225,0.1263,0.13,0.13,0.13,0.13,0.13,0.13,0.13,No comp data,5621.267102
W129012603,UACC-CABLE-PATCH-OUTDOOR-C6A-5M-W,11.08,,0.0696,0.0614,Used,0.0614,0.0663,0.0663,0.0663,0.0663,0.0663,0.0701,0.0738,0.0775,0.0813,0.085,0.0888,0.0925,0.0963,0.1,0.1038,0.1075,0.1113,0.115,0.1188,ALLNET Deutschland,10650.039356
W129247936,UPS-TOWER,124.62,,0.0638,0.1965,Outlier - Excluded,0.0613,0.0638,0.0638,0.0638,0.0638,0.0638,0.0675,0.0713,0.075,0.0788,0.0825,0.0863,0.09,0.0938,0.0975,0.1013,0.105,0.1088,0.1125,0.1163,Wortmann AG,83366.795223
W128980903,UICARE-ECS-AGGREGATION-EU-D,569.49,0.1575,0.0782,,No Main Competitor,0.0782,0.0782,0.0782,0.0782,0.0782,0.0782,0.082,0.0857,0.0895,0.0932,0.097,0.1007,0.1045,0.1082,0.112,0.1157,0.1195,0.1232,0.127,0.13,No comp data,270707.32224
W126203905,U-CABLE-PATCH-RJ45-BK-50,69.24,0.0659,0.0748,,No Main Competitor,0.0659,0.0748,0.0748,0.0748,0.0748,0.0748,0.0786,0.0823,0.0861,0.0898,0.0936,0.0973,0.1011,0.1048,0.1086,0.1123,0.1161,0.1198,0.1236,0.1273,No comp data,138939.670975
W126203906,U-CABLE-PATCH-RJ45-BL-50,69.24,0.0861,0.087,0.0615,Used,0.0615,0.0768,0.0768,0.0768,0.0768,0.0768,0.0805,0.0843,0.0881,0.0918,0.0955,0.0993,0.1031,0.1068,0.1105,0.1143,0.1181,0.1218,0.1255,0.1293,ALLNET Deutschland,43293.361175
W125916181,UVC-G4-PTZ,1329.32,,0.0811,0.0359,Used,0.0359,0.063,0.063,0.063,0.063,0.063,0.0668,0.0705,0.0743,0.078,0.0818,0.0855,0.0893,0.093,0.0968,0.1005,0.1043,0.108,0.1118,0.1155,ALLNET Deutschland,42641.728448
W129147841,UICARE-USW-PRO-XG-8-POE-EU-D,450.73,-0.8172,,,No Main Competitor,0.025,0.075,0.075,0.075,0.075,0.075,0.0788,0.0825,0.0862,0.09,0.0938,0.0975,0.1013,0.105,0.1087,0.1125,0.1163,0.12,0.1237,0.1275,No comp data,5318.242129
W128791911,UACC-FLEX-CAM-PWM-BLACK,9.23,0.1051,0.0814,0.0358,Used,0.0358,0.0631,0.0631,0.0631,0.0631,0.0631,0.0668,0.0706,0.0743,0.0781,0.0818,0.0856,0.0893,0.0931,0.0968,0.1006,0.1043,0.1081,0.1118,0.1156,ALLNET Deutschland,5713.497078
W127028467,UACC-OM-MM-10G-D-2,29.54,0.0765,0.0528,0.0278,Used,0.0278,0.0428,0.0428,0.0428,0.0428,0.0428,0.0466,0.0503,0.0541,0.0578,0.0616,0.0653,0.0691,0.0728,0.0766,0.0803,0.0841,0.0878,0.0916,0.0953,ALLNET Deutschland,797646.053743
